Objekt	Date	CleaningType
BBT 317	2017-07-16	Syradisk
BBT 323	2017-07-16	Lutdisk
BBT 308	2017-07-16	Syradisk
BBT 320	2017-07-17	Syradisk
BBT 306	2017-07-17	Syradisk
BBT 317	2017-07-17	Syradisk
BBT 311	2017-07-17	Syradisk
BBT 305	2017-07-18	Syradisk
BBT 324	2017-07-18	Lutdisk
BBT 325	2017-07-18	Lutdisk
BBT 315	2017-07-19	Lutdisk
BBT 304	2017-07-19	Syradisk
T34	2017-07-19	Lutdisk
BBT 310	2017-07-19	Syradisk
BBT 322	2017-07-19	Lutdisk
BBT 314	2017-07-20	Lutdisk
BBT 319	2017-07-20	Syradisk
BBT 321	2017-07-20	Lutdisk
301 Vattentank	2017-07-21	Lutdisk
Aldox	2017-07-21	Syradisk
Glaskontroll (vecka)	2017-07-21	Genomförd
Glaskontroll (månad)	2017-07-21	Genomförd
303 Vattentank	2017-07-21	Lutdisk
302 Vattentank	2017-07-21	Lutdisk
Vattenfilter	2017-07-21	Syradisk
Filtret-Veckoavslut	2017-07-21	Lutsterilning
Maltax	2017-07-21	Rengjord
T45	2017-07-21	Syradisk
Lilla balanssystemet (2)	2017-07-21	Lutdisk
Stora balanssystemet (1)	2017-07-21	Lutdisk
BBT 321	2017-07-23	Syradisk
BBT 304	2017-07-23	Syradisk
BBT 311	2017-07-24	Syradisk
BBT 308	2017-07-24	Syradisk
BBT 316	2017-07-24	Lutdisk
BBT 306	2017-07-24	Lutdisk
BBT 317	2017-07-24	Syradisk
BBT 320	2017-07-25	Lutdisk
BBT 305	2017-07-25	Syradisk
BBT 324	2017-07-25	Syradisk
BBT 311	2017-07-26	Lutdisk
BBT 317	2017-07-26	Syradisk
BBT 313	2017-07-27	Lutdisk
BBT 310	2017-07-27	Lutdisk
BBT 304	2017-07-27	Syradisk
BBT 314	2017-07-27	Syradisk
BBT 307	2017-07-28	Syradisk
BBT 311	2017-07-30	Syradisk
BBT 323	2017-07-30	Syradisk
BBT 310	2017-07-31	Syradisk
BBT 320	2017-07-31	Syradisk
Filtret-Veckoavslut	2017-07-31	Lutsterilning
BBT 314	2017-07-31	Syradisk
